Supplier ID,Supplier Name,Country,Supplier Type,Quality Rating,Lead Time (days),Payment Terms,Certification Level
SUP-001,USA Supplier 1,USA,AFTERMARKET,3.6,12,45 days,TS16949
SUP-002,Germany Supplier 2,Germany,OEM,3.6,14,60 days,ISO14001
SUP-003,Japan Supplier 3,Japan,AFTERMARKET,3.7,16,30 days,IATF16949
SUP-004,Australia Supplier 4,Australia,OEM,3.8,18,45 days,ISO9001
SUP-005,Brazil Supplier 5,Brazil,AFTERMARKET,3.9,20,60 days,TS16949
SUP-006,Canada Supplier 6,Canada,OEM,3.9,22,30 days,ISO14001
SUP-007,UK Supplier 7,UK,AFTERMARKET,4,24,45 days,IATF16949
SUP-008,India Supplier 8,India,OEM,4.1,26,60 days,ISO9001
SUP-009,USA Supplier 9,USA,AFTERMARKET,4.1,28,30 days,TS16949
SUP-010,Germany Supplier 10,Germany,OEM,4.2,10,45 days,ISO14001
SUP-011,Japan Supplier 11,Japan,AFTERMARKET,4.3,12,60 days,IATF16949
SUP-012,Australia Supplier 12,Australia,OEM,4.3,14,30 days,ISO9001
SUP-013,Brazil Supplier 13,Brazil,AFTERMARKET,4.4,16,45 days,TS16949
SUP-014,Canada Supplier 14,Canada,OEM,4.5,18,60 days,ISO14001
SUP-015,UK Supplier 15,UK,AFTERMARKET,4.5,20,30 days,IATF16949
SUP-016,India Supplier 16,India,OEM,4.6,22,45 days,ISO9001
SUP-017,USA Supplier 17,USA,AFTERMARKET,4.7,24,60 days,TS16949
SUP-018,Germany Supplier 18,Germany,OEM,4.8,26,30 days,ISO14001
SUP-019,Japan Supplier 19,Japan,AFTERMARKET,4.8,28,45 days,IATF16949
SUP-020,Australia Supplier 20,Australia,OEM,4.9,10,60 days,ISO9001
SUP-021,Brazil Supplier 21,Brazil,AFTERMARKET,5,12,30 days,TS16949
SUP-022,Canada Supplier 22,Canada,OEM,3.5,14,45 days,ISO14001
SUP-023,UK Supplier 23,UK,AFTERMARKET,3.6,16,60 days,IATF16949
SUP-024,India Supplier 24,India,OEM,3.7,18,30 days,ISO9001
SUP-025,USA Supplier 25,USA,AFTERMARKET,3.8,20,45 days,TS16949
SUP-026,Germany Supplier 26,Germany,OEM,3.8,22,60 days,ISO14001
SUP-027,Japan Supplier 27,Japan,AFTERMARKET,3.9,24,30 days,IATF16949
SUP-028,Australia Supplier 28,Australia,OEM,4,26,45 days,ISO9001
SUP-029,Brazil Supplier 29,Brazil,AFTERMARKET,4,28,60 days,TS16949
SUP-030,Canada Supplier 30,Canada,OEM,4.1,10,30 days,ISO14001
